Model,Seed,Final Value ($),Total Return (%),Sharpe Ratio,Max Drawdown (%),Win Rate (%),Total Trades,Avg Trade Return (%),Total Fees ($),Fee-Aware Exits,Stop-Loss Exits
KNeighborsClassifier_seed_456,456,19456.501457053364,94.56501457053365,2.955216479036758,15.30383138468427,82.14285714285714,56,1.3217857142857141,12579.619999999999,52,4
KNeighborsClassifier_seed_654,654,19455.394115791245,94.55394115791245,2.955139243453586,15.30383138468427,82.14285714285714,56,1.3223214285714289,12568.23,52,4
KNeighborsClassifier_seed_42,42,19241.051633619834,92.41051633619834,2.909133475290521,15.30383138468426,81.03448275862068,58,1.2601724137931032,12749.59,53,5
KNeighborsClassifier_seed_369,369,18953.681178153296,89.53681178153296,2.823028732265907,15.30383138468425,77.96610169491525,59,1.2094915254237288,12899.21,54,5
KNeighborsClassifier_seed_123,123,18856.06654476506,88.5606654476506,2.7626316551739443,15.319780980846161,78.46153846153847,65,1.086153846153846,14010.15,60,5
KNeighborsClassifier_seed_789,789,18856.06654476506,88.5606654476506,2.7626316551739443,15.319780980846161,78.46153846153847,65,1.086153846153846,14010.15,60,5
KNeighborsClassifier_seed_321,321,18856.06654476506,88.5606654476506,2.7626316551739443,15.319780980846161,78.46153846153847,65,1.086153846153846,14010.15,60,5
KNeighborsClassifier_seed_147,147,18856.06654476506,88.5606654476506,2.7626316551739443,15.319780980846161,78.46153846153847,65,1.086153846153846,14010.15,60,5
KNeighborsClassifier_seed_258,258,18856.06654476506,88.5606654476506,2.7626316551739443,15.319780980846161,78.46153846153847,65,1.086153846153846,14010.15,60,5
KNeighborsClassifier_seed_987,987,18453.65517505279,84.5365517505279,2.698887482920396,15.294713970024354,80.64516129032258,62,1.1038709677419354,13366.3,57,5
