Entry Time,Entry Price,Exit Time,Exit Price,PnL ($),Return (%),Duration,Exit Type
2023-01-19 04:06:00,20726.9,2023-01-25 22:48:00,22989.3,925.78,9.26,9734,Trailing TP
2023-01-25 22:49:00,23051.4,2023-02-09 19:31:00,21895.9,223.01,2.23,20037,Stop-Loss
2023-02-09 19:33:00,21937.7,2023-02-16 20:28:00,24438.3,1218.11,12.18,9776,Trailing TP
2023-02-16 20:30:00,24463.9,2023-02-24 16:01:00,23176.9,469.13,4.69,11057,Stop-Loss
2023-02-24 16:02:00,23219.4,2023-03-07 15:07:00,22005.8,-226.33,-2.26,14458,Stop-Loss
2023-03-07 15:10:00,22009.1,2023-03-09 19:03:00,20885.5,-863.89,-8.64,2747,Stop-Loss
2023-03-09 19:04:00,20912.8,2023-03-10 01:16:00,19863.8,-1451.84,-14.52,371,Stop-Loss
2023-03-10 01:20:00,19818.3,2023-03-13 09:37:00,21906.6,-692.3,-6.92,4778,Trailing TP
2023-03-13 09:39:00,21943.7,2023-03-14 17:47:00,25658.1,720.57,7.21,1926,Trailing TP
2023-03-14 17:49:00,25706.0,2023-03-14 21:05:00,24361.1,7.86,0.08,196,Stop-Loss
2023-03-14 21:08:00,24213.3,2023-03-18 16:30:00,26847.7,930.89,9.31,5477,Trailing TP
2023-03-18 16:31:00,26668.4,2023-04-02 11:16:00,28334.0,1440.04,14.4,20626,Combined Exit
2023-04-02 11:22:00,28333.6,2023-05-10 17:21:00,26826.1,669.5,6.7,51985,Stop-Loss
2023-05-10 17:22:00,27012.7,2023-06-05 16:02:00,25591.6,-42.86,-0.43,32303,Stop-Loss
2023-06-05 16:03:00,25471.0,2023-06-22 14:41:00,29682.5,1430.1,14.3,24009,Trailing TP
2023-06-22 14:42:00,29700.0,2023-08-17 15:36:00,28135.6,666.23,6.66,70259,Stop-Loss
2023-08-17 15:37:00,28201.9,2023-08-17 21:43:00,26081.2,-283.25,-2.83,366,Stop-Loss
2023-08-17 21:44:00,25553.2,2023-10-16 13:35:00,28679.1,742.43,7.42,79716,Trailing TP
2023-10-16 13:37:00,28861.6,2023-10-23 22:47:00,33090.4,2132.35,21.32,10597,Trailing TP
2023-10-23 22:48:00,33330.9,2023-11-09 16:10:00,36725.7,3168.28,31.68,23510,Trailing TP
2023-11-09 16:14:00,36522.9,2023-12-07 09:26:00,43023.7,5280.33,52.8,38307,Trailing TP
2023-12-07 09:27:00,42863.9,2023-12-11 18:28:00,40657.0,4277.01,42.77,5742,Stop-Loss
